Name,Type,Level,Race,Attribute,ATK,DEF,Total
Red-Eyes Toon Dragon,Toon Monster,7.0,Dragon,DARK,2400.0,2000.0,
Beelzeus of the Diabolic Dragons,Synchro Monster,10.0,Dragon,DARK,4000.0,4000.0,
Schwarzschild Limit Dragon,Effect Monster,8.0,Dragon,DARK,2000.0,0.0,
"Lector Pendulum, the Dracoverlord",Pendulum Effect Monster,4.0,Dragon,DARK,1950.0,0.0,
Curse of Dragonfire,Effect Monster,5.0,Dragon,DARK,2000.0,1500.0,
Amulet Dragon,Fusion Monster,8.0,Dragon,DARK,2900.0,2500.0,
Beelze of the Diabolic Dragons,Synchro Monster,8.0,Dragon,DARK,3000.0,3000.0,
Dragon Buster Destruction Sword,Tuner Monster,1.0,Dragon,DARK,400.0,300.0,
Exploder Dragonwing,Synchro Monster,7.0,Dragon,DARK,2400.0,1600.0,
Malefic Stardust Dragon,Effect Monster,8.0,Dragon,DARK,2500.0,2000.0,
Darkfire Dragon,Fusion Monster,4.0,Dragon,DARK,1500.0,1250.0,
Divine Dragon Apocralyph,Effect Monster,4.0,Dragon,DARK,1000.0,1500.0,
Jormungardr the Nordic Serpent,Effect Monster,8.0,Dragon,DARK,3000.0,3000.0,
Odd-Eyes Persona Dragon,Pendulum Effect Monster,5.0,Dragon,DARK,1200.0,2400.0,
Greedy Venom Fusion Dragon,Fusion Monster,10.0,Dragon,DARK,3300.0,2500.0,
Hot Red Dragon Archfiend Abyss,Synchro Monster,9.0,Dragon,DARK,3200.0,2500.0,
Red-Eyes Black Dragon Sword,Fusion Monster,7.0,Dragon,DARK,2400.0,2000.0,
Odd-Eyes Dragon,Effect Monster,7.0,Dragon,DARK,2500.0,2000.0,
Great Dragon Token,Token,,Dragon,,,,
Spellbook of Life,Spell Card,,Equip,,,,
Beast Fangs,Spell Card,,Equip,,,,
D.D.R. - Different Dimension Reincarnation,Spell Card,,Equip,,,,
Flint,Spell Card,,Equip,,,,
Fighting Spirit,Spell Card,,Equip,,,,
Vengeful Servant,Spell Card,,Equip,,,,
Noble Arms - Excaliburn,Spell Card,,Equip,,,,
Elf's Light,Spell Card,,Equip,,,,
Re-Fusion,Spell Card,,Equip,,,,
Twin Swords of Flashing Light - Tryce,Spell Card,,Equip,,,,
Vile Germs,Spell Card,,Equip,,,,
Magic Formula,Spell Card,,Equip,,,,
Bashing Shield,Spell Card,,Equip,,,,
Legendary Ebon Steed,Spell Card,,Equip,,,,
Cyber Shield,Spell Card,,Equip,,,,
Megamorph,Spell Card,,Equip,,,,
Light Laser,Spell Card,,Equip,,,,
Cyclone Blade,Spell Card,,Equip,,,,
Morphtronic Cord,Spell Card,,Equip,,,,
Paralyzing Potion,Spell Card,,Equip,,,,
Train Connection,Spell Card,,Equip,,,,
Premature Burial,Spell Card,,Equip,,,,
Horn of Light,Spell Card,,Equip,,,,
Falling Down,Spell Card,,Equip,,,,
United We Stand,Spell Card,,Equip,,,,
Amplifier,Spell Card,,Equip,,,,
Dragonic Attack,Spell Card,,Equip,,,,
Mask of the Accursed,Spell Card,,Equip,,,,
Cyclone Boomerang,Spell Card,,Equip,,,,
Dragunity Divine Lance,Spell Card,,Equip,,,,
Sword of the Soul-Eater,Spell Card,,Equip,,,,
Magical Labyrinth,Spell Card,,Equip,,,,
Shooting Star Bow - Ceal,Spell Card,,Equip,,,,
Mark of the Rose,Spell Card,,Equip,,,,
Symbol of Heritage,Spell Card,,Equip,,,,
Nephe Shaddoll Fusion,Spell Card,,Equip,,,,
Gravity Axe - Grarl,Spell Card,,Equip,,,,
Ring of Magnetism,Spell Card,,Equip,,,,
Scroll of Bewitchment,Spell Card,,Equip,,,,
Iron Core Armor,Spell Card,,Equip,,,,
Ballista of Rampart Smashing,Spell Card,,Equip,,,,
Xyz Unit,Spell Card,,Equip,,,,
Raregold Armor,Spell Card,,Equip,,,,
Ancient Gear Fist,Spell Card,,Equip,,,,
Morphtronic Rusty Engine,Spell Card,,Equip,,,,
Salamandra,Spell Card,,Equip,,,,
Instant Neo Space,Spell Card,,Equip,,,,
Axe of Despair,Spell Card,,Equip,,,,
Spirit Burner,Spell Card,,Equip,,,,
Ekibyo Drakmord,Spell Card,,Equip,,,,
Gladiator Beast's Battle Manica,Spell Card,,Equip,,,,
Beacon of White,Spell Card,,Equip,,,,
Vicious Claw,Spell Card,,Equip,,,,
Dragon Shield,Spell Card,,Equip,,,,
Psychic Blade,Spell Card,,Equip,,,,
Snatch Steal,Spell Card,,Equip,,,,
Fuhma Shuriken,Spell Card,,Equip,,,,
Chthonian Alliance,Spell Card,,Equip,,,,
Vylon Segment,Spell Card,,Equip,,,,
Mystical Moon,Spell Card,,Equip,,,,
Black Pendant,Spell Card,,Equip,,,,
Dragon Treasure,Spell Card,,Equip,,,,
Germ Infection,Spell Card,,Equip,,,,
Legendary Sword,Spell Card,,Equip,,,,
Magicalized Duston Mop,Spell Card,,Equip,,,,
One-Shot Wand,Spell Card,,Equip,,,,
Fulfillment of the Contract,Spell Card,,Equip,,,,
U.A. Powered Jersey,Spell Card,,Equip,,,,
Silver Wing,Spell Card,,Equip,,,,
Bubble Blaster,Spell Card,,Equip,,,,
Bound Wand,Spell Card,,Equip,,,,
Power of Kaishin,Spell Card,,Equip,,,,
Gladiator Beast's Battle Gladius,Spell Card,,Equip,,,,
Sword of Sparkles,Spell Card,,Equip,,,,
Laser Cannon Armor,Spell Card,,Equip,,,,
Necklace of Command,Spell Card,,Equip,,,,
Noble Arms - Gallatin,Spell Card,,Equip,,,,
Lucky Iron Axe,Spell Card,,Equip,,,,
Trial of the Princesses,Spell Card,,Equip,,,,
Saqlifice,Spell Card,,Equip,,,,
Wattcube,Spell Card,,Equip,,,,
Sword of Kusanagi,Spell Card,,Equip,,,,
Vylon Component,Spell Card,,Equip,,,,
Omega Goggles,Spell Card,,Equip,,,,
Gladiator Beast's Battle Archfiend Shield,Spell Card,,Equip,,,,
Ritual Weapon,Spell Card,,Equip,,,,
Gravity Blaster,Spell Card,,Equip,,,,
Hydro Pressure Cannon,Spell Card,,Equip,,,,
Demotion,Spell Card,,Equip,,,,
Abyss-scale of the Kraken,Spell Card,,Equip,,,,
Machine Conversion Factory,Spell Card,,Equip,,,,
Wattjustment,Spell Card,,Equip,,,,
Nordic Relic Draupnir,Spell Card,,Equip,,,,
Lightning Blade,Spell Card,,Equip,,,,
Heart of Clear Water,Spell Card,,Equip,,,,
Stim-Pack,Spell Card,,Equip,,,,
Cestus of Dagla,Spell Card,,Equip,,,,
Metalsilver Armor,Spell Card,,Equip,,,,
Wonder Wand,Spell Card,,Equip,,,,
Cursed Bill,Spell Card,,Equip,,,,
Fusion Weapon,Spell Card,,Equip,,,,
Comic Hand,Spell Card,,Equip,,,,
Rocket Pilder,Spell Card,,Equip,,,,
Unstable Evolution,Spell Card,,Equip,,,,
Big Bang Shot,Spell Card,,Equip,,,,
Electro-Whip,Spell Card,,Equip,,,,
Dark Energy,Spell Card,,Equip,,,,
Thorn of Malice,Spell Card,,Equip,,,,
Amulet of Ambition,Spell Card,,Equip,,,,
Fusion Sword Murasame Blade,Spell Card,,Equip,,,,
Noble Arms - Caliburn,Spell Card,,Equip,,,,
Noble Arms of Destiny,Spell Card,,Equip,,,,
Steel Shell,Spell Card,,Equip,,,,
Silver Bow and Arrow,Spell Card,,Equip,,,,
Gust Fan,Spell Card,,Equip,,,,
Sword of Dark Destruction,Spell Card,,Equip,,,,
Nitro Unit,Spell Card,,Equip,,,,
Mist Body,Spell Card,,Equip,,,,
Stoic Challenge,Spell Card,,Equip,,,,
Neos Force,Spell Card,,Equip,,,,
Sword of Dragon's Soul,Spell Card,,Equip,,,,
Ancient Gear Tank,Spell Card,,Equip,,,,
Ribbon of Rebirth,Spell Card,,Equip,,,,
Celestial Sword - Eatos,Spell Card,,Equip,,,,
Autonomous Action Unit,Spell Card,,Equip,,,,
Rainbow Veil,Spell Card,,Equip,,,,
Orb of Yasaka,Spell Card,,Equip,,,,
Pestilence,Spell Card,,Equip,,,,
Mirror of Yata,Spell Card,,Equip,,,,
Violet Crystal,Spell Card,,Equip,,,,
Cyclon Laser,Spell Card,,Equip,,,,
Sword of Deep-Seated,Spell Card,,Equip,,,,
Axe of Fools,Spell Card,,Equip,,,,
Phantasm Spiral Grip,Spell Card,,Equip,,,,
Butterfly Dagger - Elma,Spell Card,,Equip,,,,
Divine Sword - Phoenix Blade,Spell Card,,Equip,,,,
Moon Mirror Shield,Spell Card,,Equip,,,,
Break! Draw!,Spell Card,,Equip,,,,
SPYRAL GEAR - Big Red,Spell Card,,Equip,,,,
Raise Body Heat,Spell Card,,Equip,,,,
Crystal Release,Spell Card,,Equip,,,,
Opti-Camouflage Armor,Spell Card,,Equip,,,,
Smoke Grenade of the Thief,Spell Card,,Equip,,,,
Phalanx Pike,Spell Card,,Equip,,,,
Supervise,Spell Card,,Equip,,,,
Core Blaster,Spell Card,,Equip,,,,
Inzektor Sword - Zektkaliber,Spell Card,,Equip,,,,
SPYRAL GEAR - Fully Armed,Spell Card,,Equip,,,,
Insect Armor with Laser Cannon,Spell Card,,Equip,,,,
Broken Bamboo Sword,Spell Card,,Equip,,,,
Vylon Material,Spell Card,,Equip,,,,
Abyss-scale of Cetus,Spell Card,,Equip,,,,
Sword of Dark Rites,Spell Card,,Equip,,,,
Cursed Bamboo Sword,Spell Card,,Equip,,,,
Morphtronic Engine,Spell Card,,Equip,,,,
Burning Spear,Spell Card,,Equip,,,,
Horn of the Unicorn,Spell Card,,Equip,,,,
Wicked-Breaking Flamberge - Baou,Spell Card,,Equip,,,,
Lightsworn Sabre,Spell Card,,Equip,,,,
Phantasm Spiral Wave,Spell Card,,Equip,,,,
Telekinetic Charging Cell,Spell Card,,Equip,,,,
Spirit of the Fall Wind,Effect Monster,4.0,Fairy,WIND,1800.0,900.0,
Silpheed,Effect Monster,4.0,Fairy,WIND,1700.0,700.0,
Spirit of the Breeze,Effect Monster,3.0,Fairy,WIND,0.0,1800.0,
Soitsu,Normal Monster,3.0,Fairy,WIND,0.0,0.0,
Dancing Elf,Normal Monster,1.0,Fairy,WIND,300.0,200.0,
Prediction Princess Arrowsylph,Flip Effect Monster,4.0,Fairy,WIND,1000.0,1400.0,
Whirlwind Prodigy,Effect Monster,4.0,Fairy,WIND,1500.0,1600.0,
Guardian Elma,Effect Monster,3.0,Fairy,WIND,1300.0,1200.0,
Izanagi,Effect Monster,6.0,Fairy,WIND,2200.0,1000.0,
Guardian Eatos,Effect Monster,8.0,Fairy,WIND,2500.0,2000.0,
Fairy Guardian,Effect Monster,3.0,Fairy,WIND,1000.0,1000.0,
Lucky Pied Piper,Gemini Monster,4.0,Fairy,WIND,1500.0,500.0,
Geira Guile the Cubic King,Effect Monster,2.0,Fairy,WIND,0.0,0.0,
Prediction Princess Crystaldine,Flip Effect Monster,5.0,Fairy,WATER,1400.0,2200.0,
Cloudian - Turbulence,Effect Monster,4.0,Fairy,WATER,800.0,0.0,
Cloudian - Storm Dragon,Effect Monster,4.0,Fairy,WATER,1000.0,0.0,
Fluffal Penguin,Effect Monster,4.0,Fairy,WATER,1600.0,1100.0,
Izanami,Spirit Monster,4.0,Fairy,WATER,1100.0,1800.0,
Cloudian - Acid Cloud,Effect Monster,4.0,Fairy,WATER,500.0,0.0,
Cloudian - Cirrostratus,Effect Monster,4.0,Fairy,WATER,900.0,0.0,
Elder Entity Norden,Fusion Monster,4.0,Fairy,WATER,2000.0,2200.0,
Koitsu,Union Effect Monster,10.0,Fairy,WATER,200.0,100.0,
Cloudian - Nimbusman,Effect Monster,5.0,Fairy,WATER,1000.0,1000.0,
Cloudian - Sheep Cloud,Effect Monster,1.0,Fairy,WATER,0.0,0.0,
Senju of the Thousand Hands,Effect Monster,4.0,Fairy,LIGHT,1400.0,1000.0,
Petit Angel,Normal Monster,3.0,Fairy,LIGHT,600.0,900.0,
Honest,Effect Monster,4.0,Fairy,LIGHT,1100.0,1900.0,
Time Maiden,Effect Monster,1.0,Fairy,LIGHT,0.0,0.0,
Cyber Petit Angel,Effect Monster,2.0,Fairy,LIGHT,300.0,200.0,
Orion the Battle King,Normal Monster,5.0,Fairy,LIGHT,1800.0,1500.0,
Archlord Zerato,Effect Monster,8.0,Fairy,LIGHT,2800.0,2300.0,
Artifact Beagalltach,Effect Monster,5.0,Fairy,LIGHT,1400.0,2100.0,
Artifact Vajra,Effect Monster,5.0,Fairy,LIGHT,1800.0,1900.0,
Ma'at,Effect Monster,10.0,Fairy,LIGHT,0.0,0.0,
Tenshin,Effect Monster,2.0,Fairy,LIGHT,800.0,100.0,
Indiora Doom Volt the Cubic Emperor,Effect Monster,4.0,Fairy,LIGHT,0.0,0.0,
Aurora Paragon,Effect Monster,4.0,Fairy,LIGHT,1500.0,1000.0,
"Ruin, Queen of Oblivion",Ritual Effect Monster,8.0,Fairy,LIGHT,2300.0,2000.0,
Star Seraph Sword,Effect Monster,4.0,Fairy,LIGHT,1400.0,1000.0,
Artifact Achilleshield,Effect Monster,5.0,Fairy,LIGHT,1500.0,2200.0,
Arcana Force I - The Magician,Effect Monster,4.0,Fairy,LIGHT,1100.0,1100.0,
The Agent of Creation - Venus,Effect Monster,3.0,Fairy,LIGHT,1600.0,0.0,
Hecatrice,Effect Monster,4.0,Fairy,LIGHT,1500.0,1100.0,
Star Seraph Scale,Effect Monster,4.0,Fairy,LIGHT,1500.0,900.0,
Shopina the Melodious Maestra,Effect Monster,7.0,Fairy,LIGHT,2300.0,1700.0,
Charming Resort Staff,Effect Monster,3.0,Fairy,LIGHT,300.0,200.0,
Ra's Disciple,Effect Monster,4.0,Fairy,LIGHT,1100.0,600.0,
Majestic Mech - Senku,Effect Monster,4.0,Fairy,LIGHT,1000.0,500.0,
Absorbing Kid from the Sky,Effect Monster,4.0,Fairy,LIGHT,1300.0,1000.0,
"Dante, Pilgrim of the Burning Abyss",Fusion Monster,9.0,Fairy,LIGHT,2800.0,2500.0,
Arcana Force IV - The Emperor,Effect Monster,4.0,Fairy,LIGHT,1400.0,1400.0,
"Beatrice, Lady of the Eternal",XYZ Monster,6.0,Fairy,LIGHT,2500.0,2800.0,
Banisher of the Light,Effect Monster,3.0,Fairy,LIGHT,100.0,2000.0,
"Neo-Parshath, the Sky Paladin",Effect Monster,7.0,Fairy,LIGHT,2300.0,2000.0,
Consecrated Light,Effect Monster,1.0,Fairy,LIGHT,0.0,0.0,
Arcana Force XXI - The World,Effect Monster,8.0,Fairy,LIGHT,3100.0,3100.0,
Kuribon,Effect Monster,1.0,Fairy,LIGHT,300.0,200.0,
Weather Control,Normal Monster,2.0,Fairy,LIGHT,600.0,400.0,
Master Hyperion,Effect Monster,8.0,Fairy,LIGHT,2700.0,2100.0,
Arcana Force EX - The Light Ruler,Effect Monster,10.0,Fairy,LIGHT,4000.0,4000.0,
Bio-Mage,Normal Monster,3.0,Fairy,LIGHT,1150.0,1000.0,
Super Quantal Fairy Alphan,Effect Monster,1.0,Fairy,LIGHT,0.0,0.0,
Tualatin,Effect Monster,8.0,Fairy,LIGHT,2800.0,2500.0,
"Meltiel, Sage of the Sky",Effect Monster,4.0,Fairy,LIGHT,1600.0,1200.0,
Muse-A,Normal Monster,3.0,Fairy,LIGHT,850.0,900.0,
Herald of Green Light,Effect Monster,2.0,Fairy,LIGHT,300.0,500.0,
Constellar Siat,Effect Monster,1.0,Fairy,LIGHT,100.0,1600.0,
Winged Kuriboh,Effect Monster,1.0,Fairy,LIGHT,300.0,200.0,
Shining Abyss,Normal Monster,4.0,Fairy,LIGHT,1600.0,1800.0,
Winged Kuriboh,Effect Monster,1.0,Fairy,LIGHT,300.0,200.0,
Voltanis the Adjudicator,Effect Monster,8.0,Fairy,LIGHT,2800.0,1400.0,
Marshmallon,Effect Monster,3.0,Fairy,LIGHT,300.0,500.0,
St. Joan,Fusion Monster,7.0,Fairy,LIGHT,2800.0,2000.0,
Aria the Melodious Diva,Effect Monster,4.0,Fairy,LIGHT,1600.0,1200.0,
"Tiras, Keeper of Genesis",XYZ Monster,5.0,Fairy,LIGHT,2600.0,1700.0,
Guiding Light,Effect Monster,1.0,Fairy,LIGHT,0.0,0.0,
The Agent of Judgment - Saturn,Effect Monster,6.0,Fairy,LIGHT,2400.0,0.0,
Vylon Soldier,Effect Monster,4.0,Fairy,LIGHT,1700.0,1000.0,
Layard the Liberator,Effect Monster,4.0,Fairy,LIGHT,1400.0,1500.0,
Herald of Orange Light,Tuner Monster,2.0,Fairy,LIGHT,300.0,500.0,
Herald of Perfection,Ritual Effect Monster,6.0,Fairy,LIGHT,1800.0,2800.0,
Score the Melodious Diva,Effect Monster,2.0,Fairy,LIGHT,200.0,200.0,
Bountiful Artemis,Effect Monster,4.0,Fairy,LIGHT,1600.0,1700.0,
D.D. Sprite,Tuner Monster,1.0,Fairy,LIGHT,0.0,100.0,
Vylon Omega,Synchro Monster,10.0,Fairy,LIGHT,3200.0,1900.0,
Hysteric Fairy,Effect Monster,4.0,Fairy,LIGHT,1800.0,500.0,
White Night Queen,Effect Monster,7.0,Fairy,LIGHT,2100.0,800.0,
Chaos Goddess,Synchro Monster,8.0,Fairy,LIGHT,2500.0,1800.0,
Guardian Angel Joan,Effect Monster,7.0,Fairy,LIGHT,2800.0,2000.0,
Majestic Mech - Goryu,Effect Monster,8.0,Fairy,LIGHT,2900.0,1800.0,
Moisture Creature,Effect Monster,9.0,Fairy,LIGHT,2800.0,2900.0,
Artifact Durendal,XYZ Monster,5.0,Fairy,LIGHT,2400.0,2100.0,
Hoshiningen,Effect Monster,2.0,Fairy,LIGHT,500.0,700.0,
Amaterasu,Spirit Monster,9.0,Fairy,LIGHT,3000.0,3000.0,
Bloom Prima the Melodious Choir,Fusion Monster,7.0,Fairy,LIGHT,1900.0,2000.0,
"Sephylon, the Ultimate Timelord",Effect Monster,10.0,Fairy,LIGHT,4000.0,4000.0,
Light Effigy,Effect Monster,4.0,Fairy,LIGHT,1500.0,0.0,
Goddess with the Third Eye,Effect Monster,4.0,Fairy,LIGHT,1200.0,1000.0,
Condemned Maiden,Effect Monster,4.0,Fairy,LIGHT,100.0,2000.0,
Key Mace,Normal Monster,1.0,Fairy,LIGHT,400.0,300.0,
Valkyrie of the Nordic Ascendant,Tuner Monster,2.0,Fairy,LIGHT,400.0,800.0,
Constellar Virgo,Effect Monster,5.0,Fairy,LIGHT,2300.0,1600.0,
"Minerva, the Exalted Lightsworn",XYZ Monster,4.0,Fairy,LIGHT,2000.0,800.0,
Cyber Angel Idaten,Ritual Effect Monster,6.0,Fairy,LIGHT,1600.0,2000.0,
Arcana Force EX - The Dark Ruler,Effect Monster,10.0,Fairy,LIGHT,4000.0,4000.0,
Wingweaver,Normal Monster,7.0,Fairy,LIGHT,2750.0,2400.0,
Vylon Disigma,XYZ Monster,4.0,Fairy,LIGHT,2500.0,2100.0,
Little Fairy,Effect Monster,3.0,Fairy,LIGHT,800.0,800.0,
Hanewata,Tuner Monster,1.0,Fairy,LIGHT,200.0,300.0,
"Freya, Spirit of Victory",Effect Monster,1.0,Fairy,LIGHT,100.0,100.0,
Schuberta the Melodious Maestra,Fusion Monster,6.0,Fairy,LIGHT,2400.0,2000.0,
Goddess of Whim,Effect Monster,3.0,Fairy,LIGHT,950.0,700.0,
Silent Paladin,Effect Monster,4.0,Fairy,LIGHT,500.0,1500.0,
El Shaddoll Construct,Fusion Monster,8.0,Fairy,LIGHT,2800.0,2500.0,
"Iris, the Earth Mother",Effect Monster,6.0,Fairy,LIGHT,2400.0,1200.0,
Artifact Scythe,Effect Monster,5.0,Fairy,LIGHT,2200.0,900.0,
Princess Cologne,XYZ Monster,4.0,Fairy,LIGHT,500.0,2200.0,
Fairy Cheer Girl,XYZ Monster,4.0,Fairy,LIGHT,1900.0,1500.0,
Vylon Delta,Synchro Monster,7.0,Fairy,LIGHT,1700.0,2800.0,
Sky Scourge Enrise,Effect Monster,8.0,Fairy,LIGHT,2400.0,1500.0,
Tenderness,Normal Monster,3.0,Fairy,LIGHT,700.0,1400.0,
Mystical Capture Chain,Normal Monster,2.0,Fairy,LIGHT,700.0,700.0,
Angel of Zera,Synchro Monster,8.0,Fairy,LIGHT,2800.0,2300.0,
Barrier Statue of the Heavens,Effect Monster,4.0,Fairy,LIGHT,1000.0,1000.0,
The Agent of Miracles - Jupiter,Effect Monster,4.0,Fairy,LIGHT,1800.0,1000.0,
Cyber Angel Dakini,Ritual Effect Monster,8.0,Fairy,LIGHT,2700.0,2400.0,
Serenade the Melodious Diva,Effect Monster,4.0,Fairy,LIGHT,400.0,1900.0,
Mystical Shine Ball,Normal Monster,2.0,Fairy,LIGHT,500.0,500.0,
Victoria,Effect Monster,4.0,Fairy,LIGHT,1800.0,1500.0,
Skelengel,Flip Effect Monster,2.0,Fairy,LIGHT,900.0,400.0,
Majestic Mech - Ohka,Effect Monster,6.0,Fairy,LIGHT,2400.0,1400.0,
Gyakutenno Megami,Normal Monster,6.0,Fairy,LIGHT,1800.0,2000.0,
Angel O7,Effect Monster,7.0,Fairy,LIGHT,2500.0,1500.0,
Gyakutenno Megami,Normal Monster,6.0,Fairy,LIGHT,1800.0,2000.0,
Vylon Hept,Effect Monster,4.0,Fairy,LIGHT,1800.0,800.0,
Herald of Pure Light,XYZ Monster,2.0,Fairy,LIGHT,600.0,1000.0,
Avenging Knight Parshath,Synchro Monster,8.0,Fairy,LIGHT,2600.0,2100.0,
Nikitama,Spirit Monster,4.0,Fairy,LIGHT,800.0,1800.0,
Mokey Mokey King,Fusion Monster,6.0,Fairy,LIGHT,300.0,100.0,
Nova Summoner,Effect Monster,4.0,Fairy,LIGHT,1400.0,800.0,
Vanity's Ruler,Effect Monster,8.0,Fairy,LIGHT,2500.0,1600.0,
Hourglass of Life,Normal Monster,2.0,Fairy,LIGHT,700.0,600.0,
Athena,Effect Monster,7.0,Fairy,LIGHT,2600.0,800.0,
Gellenduo,Effect Monster,4.0,Fairy,LIGHT,1700.0,0.0,
Dark Witch,Normal Monster,5.0,Fairy,LIGHT,1800.0,1700.0,
Winged Kuriboh LV9,Effect Monster,9.0,Fairy,LIGHT,0.0,0.0,
Binding Chain,Normal Monster,3.0,Fairy,LIGHT,1000.0,1100.0,
Spirit of the Pot of Greed,Effect Monster,1.0,Fairy,LIGHT,100.0,100.0,
Herald of Ultimateness,Ritual Effect Monster,12.0,Fairy,LIGHT,2000.0,3000.0,
Artifact Chakram,Effect Monster,5.0,Fairy,LIGHT,1900.0,2000.0,
Mechquipped Angineer,XYZ Monster,3.0,Fairy,LIGHT,1800.0,1000.0,
Protective Soul Ailin,Union Effect Monster,1.0,Fairy,LIGHT,0.0,0.0,
Sonata the Melodious Diva,Effect Monster,3.0,Fairy,LIGHT,1200.0,1000.0,
Crystal Beast Ruby Carbuncle,Effect Monster,3.0,Fairy,LIGHT,300.0,300.0,
Soprano the Melodious Songstress,Effect Monster,4.0,Fairy,LIGHT,1400.0,1400.0,
Solo the Melodious Songstress,Effect Monster,4.0,Fairy,LIGHT,1600.0,1000.0,
Arcana Force III - The Empress,Effect Monster,4.0,Fairy,LIGHT,1300.0,1300.0,
Opera the Melodious Diva,Effect Monster,4.0,Fairy,LIGHT,2300.0,1000.0,
Vylon Sigma,Synchro Monster,7.0,Fairy,LIGHT,1800.0,1000.0,
Artifact Lancea,Effect Monster,5.0,Fairy,LIGHT,1700.0,2300.0,
Artifact Labrys,Effect Monster,5.0,Fairy,LIGHT,2300.0,1000.0,
Mokey Mokey,Normal Monster,1.0,Fairy,LIGHT,300.0,100.0,
Airknight Parshath,Effect Monster,5.0,Fairy,LIGHT,1900.0,1400.0,
Invoked Elysium,Fusion Monster,10.0,Fairy,LIGHT,3200.0,4000.0,
Senju of the Thousand Hands,Effect Monster,4.0,Fairy,LIGHT,1400.0,1000.0,
"Zeradias, Herald of Heaven",Effect Monster,4.0,Fairy,LIGHT,2100.0,800.0,
Lunar Queen Elzaim,Normal Monster,3.0,Fairy,LIGHT,750.0,1100.0,
Splendid Venus,Effect Monster,8.0,Fairy,LIGHT,2800.0,2400.0,
Soul of Purity and Light,Effect Monster,6.0,Fairy,LIGHT,2000.0,1800.0,
Artifact Failnaught,Effect Monster,5.0,Fairy,LIGHT,2000.0,1600.0,
Arcana Force 0 - The Fool,Effect Monster,1.0,Fairy,LIGHT,0.0,0.0,
Vylon Stigma,Effect Monster,4.0,Fairy,LIGHT,1600.0,1000.0,
Clear Kuriboh,Effect Monster,1.0,Fairy,LIGHT,300.0,200.0,
Fairy Archer,Effect Monster,3.0,Fairy,LIGHT,1400.0,600.0,
Arcana Force VII - The Chariot,Effect Monster,4.0,Fairy,LIGHT,1700.0,1700.0,
Vylon Stella,Tuner Monster,3.0,Fairy,LIGHT,1400.0,200.0,
Cyber Angel Benten,Ritual Effect Monster,6.0,Fairy,LIGHT,1800.0,1500.0,
Ancient Sacred Wyvern,Synchro Monster,7.0,Fairy,LIGHT,2100.0,2000.0,
Winged Egg of New Life,Normal Monster,5.0,Fairy,LIGHT,1400.0,1700.0,
Mozarta the Melodious Maestra,Effect Monster,8.0,Fairy,LIGHT,2600.0,2000.0,
Vylon Ohm,Effect Monster,4.0,Fairy,LIGHT,1500.0,200.0,
Star Seraph Sage,Effect Monster,4.0,Fairy,LIGHT,1600.0,1400.0,
Canon the Melodious Diva,Effect Monster,4.0,Fairy,LIGHT,1400.0,2000.0,
Hourglass of Courage,Effect Monster,4.0,Fairy,LIGHT,1100.0,1200.0,
Star Seraph Scepter,Effect Monster,4.0,Fairy,LIGHT,1800.0,400.0,
Archlord Kristya,Effect Monster,8.0,Fairy,LIGHT,2800.0,2300.0,
Dunames Dark Witch,Normal Monster,4.0,Fairy,LIGHT,1800.0,1050.0,
"Shire, Lightsworn Spirit",Effect Monster,3.0,Fairy,LIGHT,400.0,1400.0,
Star Seraph Scout,Effect Monster,4.0,Fairy,LIGHT,1200.0,1800.0,
The Agent of Wisdom - Mercury,Effect Monster,4.0,Fairy,LIGHT,0.0,1700.0,
Royal Knight,Effect Monster,3.0,Fairy,LIGHT,1300.0,800.0,
Fluffal Wings,Effect Monster,1.0,Fairy,LIGHT,100.0,100.0,
Arcana Force XIV - Temperance,Effect Monster,6.0,Fairy,LIGHT,2400.0,2400.0,
Vylon Epsilon,Synchro Monster,8.0,Fairy,LIGHT,2800.0,1200.0,
Asura Priest,Spirit Monster,4.0,Fairy,LIGHT,1700.0,1200.0,
Vylon Charger,Effect Monster,4.0,Fairy,LIGHT,1000.0,1000.0,
Dimensional Alchemist,Effect Monster,4.0,Fairy,LIGHT,1300.0,200.0,
"Metaion, the Timelord",Effect Monster,10.0,Fairy,FIRE,0.0,0.0,
Red Nova,Tuner Monster,1.0,Fairy,FIRE,0.0,0.0,
ZW - Asura Strike,Effect Monster,4.0,Fairy,FIRE,1000.0,1000.0,
Aitsu,Normal Monster,5.0,Fairy,FIRE,100.0,100.0,
Vulcan Dragni the Cubic King,Effect Monster,3.0,Fairy,FIRE,0.0,0.0,
Rasetsu,Spirit Monster,4.0,Fairy,FIRE,1500.0,1900.0,
Prediction Princess Petalelf,Flip Effect Monster,3.0,Fairy,EARTH,800.0,700.0,
Prediction Princess Coinorma,Flip Effect Monster,3.0,Fairy,EARTH,800.0,1400.0,
Kelbek,Effect Monster,4.0,Fairy,EARTH,1500.0,1800.0,
Fluffal Owl,Effect Monster,2.0,Fairy,EARTH,1000.0,1000.0,
Fluffal Bear,Effect Monster,3.0,Fairy,EARTH,1200.0,800.0,
Fluffal Leo,Effect Monster,4.0,Fairy,EARTH,1600.0,1200.0,
Fluffal Cat,Effect Monster,1.0,Fairy,EARTH,700.0,300.0,
Madolche Puddingcess,Effect Monster,5.0,Fairy,EARTH,1000.0,1000.0,
