model,year,price,transmission,mileage,fuelType,tax(£),mpg,engineSize,catergory_mileage,catergory_year,catergory_tax
Tucson,2017.0,14995.0,Manual,31013.0,Diesel,30.0,61.4,1.7,30000>40000,2015>2020,<100
Tucson,2017.0,17695.0,Semi-Auto,35793.0,Diesel,125.0,57.6,1.7,30000>40000,2015>2020,100>150
I20,2020.0,12995.0,Manual,3000.0,Petrol,145.0,46.3,1.2,0<10000,2015>2020,100>150
Tucson,2017.0,12995.0,Manual,36681.0,Diesel,30.0,61.7,1.7,30000>40000,2015>2020,<100
Tucson,2019.0,15498.0,Manual,12230.0,Petrol,150.0,34.9,1.6,10000>20000,2015>2020,100>150
Tucson,2019.0,15498.0,Manual,15308.0,Petrol,150.0,34.9,1.6,10000>20000,2015>2020,100>150
Tucson,2019.0,15498.0,Manual,11024.0,Petrol,150.0,34.9,1.6,10000>20000,2015>2020,100>150
Tucson,2018.0,15295.0,Manual,16662.0,Petrol,145.0,34.9,1.6,10000>20000,2015>2020,100>150
I10,2017.0,6995.0,Manual,29671.0,Petrol,145.0,57.7,1.2,20000>30000,2015>2020,100>150
I10,2018.0,7495.0,Manual,7766.0,Petrol,145.0,60.1,1.0,0<10000,2015>2020,100>150
I10,2017.0,6795.0,Manual,34871.0,Petrol,145.0,57.7,1.2,30000>40000,2015>2020,100>150
Tucson,2017.0,15495.0,Semi-Auto,19990.0,Diesel,125.0,57.6,1.7,10000>20000,2015>2020,100>150
I10,2018.0,8995.0,Manual,2442.0,Petrol,145.0,57.7,1.2,0<10000,2015>2020,100>150
SantaFe,2016.0,15995.0,Manual,32696.0,Diesel,200.0,46.3,2.2,30000>40000,2015>2020,150>200
Tucson,2019.0,26995.0,Semi-Auto,12.0,Diesel,145.0,46.3,1.6,0<10000,2015>2020,100>150
Tucson,2017.0,13895.0,Manual,17849.0,Diesel,30.0,61.7,1.7,10000>20000,2015>2020,<100
Tucson,2017.0,14995.0,Semi-Auto,13061.0,Diesel,125.0,57.6,1.7,10000>20000,2015>2020,100>150
I30,2019.0,13595.0,Manual,15000.0,Petrol,145.0,41.5,1.4,10000>20000,2015>2020,100>150
Tucson,2019.0,25495.0,Semi-Auto,4.0,Diesel,145.0,47.1,1.6,0<10000,2015>2020,100>150
I40,2019.0,15495.0,Manual,12000.0,Diesel,145.0,54.3,1.6,10000>20000,2015>2020,100>150
I800,2018.0,16895.0,Manual,22756.0,Diesel,145.0,31.7,2.5,20000>30000,2015>2020,100>150
Tucson,2019.0,16395.0,Manual,5338.0,Petrol,145.0,34.9,1.6,0<10000,2015>2020,100>150
Tucson,2019.0,16095.0,Manual,6214.0,Petrol,145.0,34.9,1.6,0<10000,2015>2020,100>150
Ioniq,2018.0,17195.0,Automatic,17534.0,Hybrid,135.0,78.5,1.6,10000>20000,2015>2020,100>150
Tucson,2019.0,16595.0,Manual,2860.0,Petrol,145.0,34.9,1.6,0<10000,2015>2020,100>150
I30,2019.0,22395.0,Manual,2144.0,Petrol,145.0,34.0,2.0,0<10000,2015>2020,100>150
I40,2015.0,7480.0,Manual,41050.0,Diesel,30.0,65.7,1.7,40000>50000,2010>2015,<100
Tucson,2017.0,15700.0,Manual,38300.0,Diesel,145.0,58.9,2.0,30000>40000,2015>2020,100>150
I10,2020.0,12500.0,Manual,371.0,Petrol,150.0,56.5,1.0,0<10000,2015>2020,100>150
Ioniq,2018.0,17995.0,Automatic,9531.0,Hybrid,135.0,78.5,1.6,0<10000,2015>2020,100>150
Tucson,2016.0,14495.0,Semi-Auto,29856.0,Diesel,125.0,57.6,1.7,20000>30000,2015>2020,100>150
I20,2015.0,5995.0,Manual,61219.0,Petrol,30.0,55.4,1.2,>60000,2010>2015,<100
I30,2016.0,7995.0,Manual,51919.0,Diesel,0.0,78.4,1.6,50000>60000,2015>2020,<100
Tucson,2016.0,12698.0,Manual,27509.0,Diesel,30.0,61.7,1.7,20000>30000,2015>2020,<100
I30,2018.0,10498.0,Manual,17070.0,Petrol,145.0,56.5,1.0,10000>20000,2015>2020,100>150
I10,2014.0,5212.0,Manual,54681.0,Petrol,30.0,57.6,1.2,50000>60000,2010>2015,<100
I10,2017.0,6760.0,Manual,16403.0,Petrol,20.0,60.1,1.0,10000>20000,2015>2020,<100
I20,2015.0,7390.0,Manual,28300.0,Petrol,125.0,51.4,1.4,20000>30000,2010>2015,100>150
Tucson,2019.0,18495.0,Semi-Auto,16375.0,Petrol,145.0,36.2,1.6,10000>20000,2015>2020,100>150
I20,2015.0,7995.0,Automatic,34712.0,Petrol,160.0,42.2,1.4,30000>40000,2010>2015,150>200
I30,2019.0,15995.0,Manual,5636.0,Diesel,145.0,58.9,1.6,0<10000,2015>2020,100>150
SantaFe,2019.0,31995.0,Automatic,9800.0,Diesel,145.0,39.8,2.2,0<10000,2015>2020,100>150
Tucson,2017.0,14498.0,Manual,21776.0,Diesel,145.0,61.7,1.7,20000>30000,2015>2020,100>150
Tucson,2017.0,13298.0,Manual,33771.0,Diesel,150.0,61.7,1.7,30000>40000,2015>2020,100>150
Tucson,2016.0,12480.0,Manual,25865.0,Diesel,30.0,61.7,1.7,20000>30000,2015>2020,<100
I800,2016.0,13710.0,Automatic,27802.0,Diesel,325.0,33.6,2.5,20000>30000,2015>2020,>200
SantaFe,2016.0,17650.0,Automatic,26294.0,Diesel,235.0,42.8,2.2,20000>30000,2015>2020,>200
I10,2017.0,6750.0,Manual,37972.0,Petrol,145.0,57.7,1.2,30000>40000,2015>2020,100>150
Tucson,2016.0,10985.0,Manual,60996.0,Diesel,30.0,61.7,1.7,>60000,2015>2020,<100
I10,2018.0,7485.0,Manual,18385.0,Petrol,145.0,60.1,1.0,10000>20000,2015>2020,100>150
I10,2018.0,7485.0,Manual,9832.0,Petrol,145.0,60.1,1.0,0<10000,2015>2020,100>150
I10,2018.0,7185.0,Manual,20189.0,Petrol,145.0,60.1,1.0,20000>30000,2015>2020,100>150
Tucson,2017.0,13995.0,Manual,23558.0,Diesel,145.0,61.7,1.7,20000>30000,2015>2020,100>150
Kona,2019.0,14985.0,Manual,7896.0,Petrol,145.0,44.1,1.0,0<10000,2015>2020,100>150
Kona,2019.0,14485.0,Manual,17976.0,Petrol,145.0,44.1,1.0,10000>20000,2015>2020,100>150
Ioniq,2019.0,17195.0,Automatic,6437.0,Hybrid,135.0,78.5,1.6,0<10000,2015>2020,100>150
Tucson,2016.0,10995.0,Manual,49018.0,Diesel,30.0,61.7,1.7,40000>50000,2015>2020,<100
I10,2018.0,6985.0,Manual,22524.0,Petrol,145.0,60.1,1.0,20000>30000,2015>2020,100>150
I10,2018.0,7685.0,Manual,8043.0,Petrol,145.0,60.1,1.0,0<10000,2015>2020,100>150
I10,2018.0,7985.0,Manual,5406.0,Petrol,145.0,60.1,1.0,0<10000,2015>2020,100>150
I10,2017.0,7498.0,Manual,24014.0,Petrol,145.0,60.1,1.0,20000>30000,2015>2020,100>150
I20,2014.0,5998.0,Manual,17641.0,Petrol,30.0,57.6,1.2,10000>20000,2010>2015,<100
I10,2017.0,8498.0,Manual,5676.0,Petrol,30.0,57.7,1.2,0<10000,2015>2020,<100
I40,2017.0,11485.0,Manual,33067.0,Diesel,145.0,65.7,1.7,30000>40000,2015>2020,100>150
Kona,2018.0,11985.0,Manual,13878.0,Petrol,145.0,54.3,1.0,10000>20000,2015>2020,100>150
Kona,2019.0,14785.0,Manual,15113.0,Petrol,145.0,44.1,1.0,10000>20000,2015>2020,100>150
Kona,2019.0,14985.0,Manual,11372.0,Petrol,145.0,44.1,1.0,10000>20000,2015>2020,100>150
Kona,2019.0,13485.0,Manual,17815.0,Petrol,145.0,44.1,1.0,10000>20000,2015>2020,100>150
Kona,2019.0,14985.0,Manual,17868.0,Petrol,145.0,44.1,1.0,10000>20000,2015>2020,100>150
I30,2020.0,22895.0,Manual,3811.0,Petrol,145.0,34.0,2.0,0<10000,2015>2020,100>150
Ioniq,2020.0,23895.0,Automatic,4152.0,Hybrid,135.0,1.1,1.6,0<10000,2015>2020,100>150
I40,2016.0,10695.0,Semi-Auto,27000.0,Diesel,125.0,56.5,1.7,20000>30000,2015>2020,100>150
SantaFe,2017.0,19495.0,Semi-Auto,17354.0,Diesel,240.0,42.8,2.2,10000>20000,2015>2020,>200
I10,2017.0,7495.0,Manual,17500.0,Petrol,20.0,60.1,1.0,10000>20000,2015>2020,<100
I30,2016.0,8595.0,Manual,44534.0,Diesel,0.0,78.4,1.6,40000>50000,2015>2020,<100
IX20,2016.0,8250.0,Manual,15560.0,Petrol,125.0,50.4,1.4,10000>20000,2015>2020,100>150
Tucson,2019.0,14995.0,Manual,10193.0,Petrol,145.0,34.9,1.6,10000>20000,2015>2020,100>150
Tucson,2017.0,12995.0,Manual,12490.0,Petrol,160.0,44.8,1.6,10000>20000,2015>2020,150>200
Ioniq,2018.0,14995.0,Automatic,15946.0,Hybrid,135.0,78.5,1.6,10000>20000,2015>2020,100>150
I30,2017.0,9299.0,Manual,31456.0,Diesel,150.0,72.4,1.6,30000>40000,2015>2020,100>150
Tucson,2017.0,15110.0,Semi-Auto,6173.0,Diesel,125.0,57.6,1.7,0<10000,2015>2020,100>150
Tucson,2017.0,14295.0,Manual,17333.0,Diesel,145.0,61.7,1.7,10000>20000,2015>2020,100>150
I20,2014.0,4950.0,Manual,46598.0,Petrol,30.0,57.6,1.2,40000>50000,2010>2015,<100
I30,2017.0,11799.0,Manual,16853.0,Diesel,0.0,74.3,1.6,10000>20000,2015>2020,<100
I10,2017.0,6950.0,Manual,22128.0,Petrol,145.0,60.1,1.0,20000>30000,2015>2020,100>150
I10,2016.0,4388.0,Manual,36182.0,Petrol,20.0,60.1,1.0,30000>40000,2015>2020,<100
I10,2017.0,6699.0,Manual,31814.0,Petrol,30.0,57.7,1.2,30000>40000,2015>2020,<100
Kona,2018.0,13485.0,Manual,7034.0,Petrol,150.0,52.3,1.0,0<10000,2015>2020,100>150
I20,2018.0,9285.0,Manual,16899.0,Petrol,150.0,58.9,1.2,10000>20000,2015>2020,100>150
Tucson,2016.0,13785.0,Manual,10710.0,Diesel,30.0,61.7,1.7,10000>20000,2015>2020,<100
I10,2018.0,7995.0,Manual,3200.0,Petrol,145.0,60.1,1.0,0<10000,2015>2020,100>150
I40,2013.0,6995.0,Manual,50438.0,Diesel,30.0,62.8,1.7,50000>60000,2010>2015,<100
Tucson,2017.0,14798.0,Manual,6430.0,Diesel,30.0,61.7,1.7,0<10000,2015>2020,<100
Tucson,2017.0,12998.0,Manual,8133.0,Diesel,30.0,61.7,1.7,0<10000,2015>2020,<100
Ioniq,2018.0,16998.0,Automatic,6308.0,Hybrid,135.0,78.5,1.6,0<10000,2015>2020,100>150
Tucson,2019.0,15498.0,Manual,14577.0,Petrol,145.0,34.9,1.6,10000>20000,2015>2020,100>150
Tucson,2019.0,15498.0,Manual,12521.0,Petrol,145.0,34.9,1.6,10000>20000,2015>2020,100>150
Tucson,2017.0,14795.0,Manual,29800.0,Diesel,200.0,47.9,2.0,20000>30000,2015>2020,150>200
I30,2013.0,5295.0,Manual,67762.0,Petrol,160.0,46.3,1.4,>60000,2010>2015,150>200
Tucson,2018.0,15320.0,Automatic,35226.0,Diesel,145.0,47.1,2.0,30000>40000,2015>2020,100>150
Ioniq,2019.0,16990.0,Automatic,8904.0,Hybrid,135.0,78.5,1.6,0<10000,2015>2020,100>150
Ioniq,2018.0,18490.0,Automatic,7443.0,Hybrid,135.0,78.5,1.6,0<10000,2015>2020,100>150
I40,2015.0,7050.0,Manual,68969.0,Diesel,20.0,67.3,1.7,>60000,2010>2015,<100
Tucson,2018.0,17591.0,Semi-Auto,31459.0,Diesel,145.0,57.7,1.7,30000>40000,2015>2020,100>150
I800,2018.0,17680.0,Automatic,32543.0,Diesel,145.0,28.0,2.5,30000>40000,2015>2020,100>150
Tucson,2017.0,11577.0,Manual,52029.0,Diesel,30.0,61.7,1.7,50000>60000,2015>2020,<100
I20,2016.0,8111.0,Manual,19578.0,Petrol,30.0,55.4,1.2,10000>20000,2015>2020,<100
Kona,2017.0,12710.0,Manual,6206.0,Petrol,145.0,52.3,1.0,0<10000,2015>2020,100>150
I20,2017.0,7010.0,Manual,35937.0,Petrol,30.0,58.9,1.2,30000>40000,2015>2020,<100
Tucson,2017.0,11995.0,Manual,60591.0,Diesel,30.0,61.7,1.7,>60000,2015>2020,<100
I40,2018.0,12295.0,Manual,30734.0,Diesel,145.0,67.3,1.7,30000>40000,2015>2020,100>150
Ioniq,2018.0,15990.0,Automatic,13286.0,Hybrid,135.0,78.5,1.6,10000>20000,2015>2020,100>150
Ioniq,2018.0,15990.0,Automatic,10052.0,Hybrid,135.0,78.5,1.6,10000>20000,2015>2020,100>150
IX35,2015.0,8290.0,Manual,51000.0,Diesel,145.0,53.3,1.7,50000>60000,2010>2015,100>150
I10,2017.0,9495.0,Manual,12455.0,Petrol,150.0,57.7,1.2,10000>20000,2015>2020,100>150
I10,2015.0,5971.0,Manual,40883.0,Petrol,20.0,61.4,1.0,40000>50000,2010>2015,<100
I30,2019.0,13730.0,Manual,10100.0,Petrol,145.0,44.8,1.0,10000>20000,2015>2020,100>150
Ioniq,2019.0,17990.0,Automatic,8972.0,Hybrid,135.0,78.5,1.6,0<10000,2015>2020,100>150
Tucson,2019.0,25110.0,Manual,100.0,Hybrid,145.0,51.4,1.6,0<10000,2015>2020,100>150
I10,2016.0,5870.0,Manual,28386.0,Petrol,20.0,61.4,1.0,20000>30000,2015>2020,<100
I10,2016.0,6130.0,Manual,19390.0,Petrol,20.0,60.1,1.0,10000>20000,2015>2020,<100
IX20,2017.0,9250.0,Manual,8449.0,Petrol,145.0,50.4,1.4,0<10000,2015>2020,100>150
Ioniq,2018.0,17750.0,Semi-Auto,6897.0,Hybrid,135.0,78.5,1.6,0<10000,2015>2020,100>150
IX35,2013.0,7495.0,Manual,31643.0,Diesel,145.0,48.7,1.7,30000>40000,2010>2015,100>150
Tucson,2017.0,11995.0,Manual,37302.0,Diesel,145.0,61.7,1.7,30000>40000,2015>2020,100>150
I10,2018.0,7695.0,Manual,26219.0,Petrol,145.0,57.7,1.2,20000>30000,2015>2020,100>150
I10,2018.0,7695.0,Manual,26019.0,Petrol,145.0,57.7,1.2,20000>30000,2015>2020,100>150
Tucson,2018.0,15595.0,Semi-Auto,30288.0,Diesel,145.0,57.6,1.7,30000>40000,2015>2020,100>150
Tucson,2017.0,12395.0,Manual,41603.0,Diesel,30.0,61.7,1.7,40000>50000,2015>2020,<100
Kona,2018.0,14490.0,Manual,7375.0,Petrol,145.0,52.3,1.0,0<10000,2015>2020,100>150
IX20,2017.0,8991.0,Manual,27950.0,Petrol,125.0,50.4,1.4,20000>30000,2015>2020,100>150
I10,2013.0,4291.0,Manual,22000.0,Petrol,20.0,61.4,1.2,20000>30000,2010>2015,<100
I30,2019.0,13990.0,Manual,6175.0,Petrol,145.0,44.8,1.0,0<10000,2015>2020,100>150
Ioniq,2019.0,23370.0,Automatic,5653.0,Hybrid,135.0,78.5,1.6,0<10000,2015>2020,100>150
Tucson,2016.0,12990.0,Manual,29508.0,Diesel,125.0,58.9,2.0,20000>30000,2015>2020,100>150
Kona,2018.0,14550.0,Manual,6295.0,Petrol,145.0,52.3,1.0,0<10000,2015>2020,100>150
I20,2016.0,7190.0,Manual,35335.0,Petrol,30.0,56.5,1.2,30000>40000,2015>2020,<100
Tucson,2016.0,12491.0,Manual,28895.0,Diesel,30.0,61.7,1.7,20000>30000,2015>2020,<100
I20,2017.0,8691.0,Manual,12814.0,Petrol,145.0,58.9,1.2,10000>20000,2015>2020,100>150
Tucson,2017.0,13830.0,Manual,30650.0,Diesel,145.0,61.4,1.7,30000>40000,2015>2020,100>150
Tucson,2018.0,14900.0,Manual,7894.0,Petrol,145.0,34.9,1.6,0<10000,2015>2020,100>150
Ioniq,2018.0,16750.0,Automatic,6897.0,Hybrid,135.0,78.5,1.6,0<10000,2015>2020,100>150
Kona,2018.0,14250.0,Manual,14764.0,Petrol,145.0,52.3,1.0,10000>20000,2015>2020,100>150
Kona,2018.0,13350.0,Manual,8961.0,Petrol,145.0,52.3,1.0,0<10000,2015>2020,100>150
Kona,2018.0,12910.0,Manual,7369.0,Petrol,145.0,52.3,1.0,0<10000,2015>2020,100>150
I10,2014.0,4970.0,Manual,25500.0,Petrol,20.0,60.1,1.0,20000>30000,2010>2015,<100
I30,2019.0,14030.0,Manual,6416.0,Petrol,145.0,44.8,1.0,0<10000,2015>2020,100>150
I10,2017.0,6610.0,Manual,14010.0,Petrol,20.0,60.1,1.0,10000>20000,2015>2020,<100
I30,2019.0,13600.0,Manual,12972.0,Petrol,145.0,44.8,1.0,10000>20000,2015>2020,100>150
I30,2019.0,13970.0,Manual,8295.0,Petrol,145.0,44.8,1.0,0<10000,2015>2020,100>150
I30,2019.0,13910.0,Manual,10661.0,Petrol,145.0,44.8,1.0,10000>20000,2015>2020,100>150
Tucson,2016.0,11950.0,Manual,49029.0,Diesel,30.0,61.7,1.7,40000>50000,2015>2020,<100
I20,2014.0,5195.0,Manual,40000.0,Petrol,30.0,57.6,1.2,30000>40000,2010>2015,<100
I10,2014.0,4998.0,Manual,46460.0,Petrol,20.0,60.1,1.0,40000>50000,2010>2015,<100
I30,2014.0,5849.0,Manual,46793.0,Diesel,0.0,76.3,1.6,40000>50000,2010>2015,<100
Tucson,2016.0,12698.0,Manual,32919.0,Diesel,30.0,61.7,1.7,30000>40000,2015>2020,<100
I30,2016.0,9298.0,Manual,29412.0,Diesel,0.0,78.4,1.6,20000>30000,2015>2020,<100
I20,2014.0,4498.0,Manual,44509.0,Petrol,30.0,57.6,1.2,40000>50000,2010>2015,<100
I10,2017.0,6297.0,Manual,20132.0,Petrol,145.0,60.1,1.0,20000>30000,2015>2020,100>150
I10,2017.0,6950.0,Manual,17720.0,Petrol,145.0,57.7,1.2,10000>20000,2015>2020,100>150
Kona,2019.0,14770.0,Manual,3702.0,Petrol,145.0,44.1,1.0,0<10000,2015>2020,100>150
I30,2019.0,15120.0,Manual,2112.0,Petrol,145.0,41.5,1.4,0<10000,2015>2020,100>150
Tucson,2019.0,21490.0,Manual,623.0,Petrol,145.0,34.9,1.6,0<10000,2015>2020,100>150
I10,2019.0,8690.0,Manual,2362.0,Petrol,145.0,60.1,1.0,0<10000,2015>2020,100>150
Ioniq,2019.0,16200.0,Automatic,7980.0,Hybrid,135.0,78.5,1.6,0<10000,2015>2020,100>150
SantaFe,2017.0,20550.0,Semi-Auto,11175.0,Diesel,145.0,42.8,2.2,10000>20000,2015>2020,100>150
I10,2019.0,9690.0,Manual,15314.0,Petrol,145.0,57.6,1.2,10000>20000,2015>2020,100>150
I20,2017.0,8291.0,Manual,15733.0,Petrol,30.0,58.9,1.2,10000>20000,2015>2020,<100
Kona,2018.0,12377.0,Manual,13812.0,Petrol,145.0,52.3,1.0,10000>20000,2015>2020,100>150
I10,2020.0,13495.0,Manual,697.0,Petrol,145.0,55.4,1.2,0<10000,2015>2020,100>150
I10,2020.0,14490.0,Manual,771.0,Petrol,145.0,53.3,1.0,0<10000,2015>2020,100>150
Ioniq,2018.0,16995.0,Automatic,28141.0,Hybrid,135.0,78.5,1.6,20000>30000,2015>2020,100>150
I10,2019.0,7995.0,Manual,14614.0,Petrol,145.0,60.1,1.0,10000>20000,2015>2020,100>150
I10,2018.0,8380.0,Manual,7248.0,Petrol,145.0,57.7,1.2,0<10000,2015>2020,100>150
SantaFe,2016.0,19990.0,Semi-Auto,10278.0,Diesel,235.0,42.2,2.2,10000>20000,2015>2020,>200
Ioniq,2019.0,17250.0,Automatic,1267.0,Hybrid,135.0,78.5,1.6,0<10000,2015>2020,100>150
I10,2016.0,6391.0,Manual,29700.0,Petrol,20.0,61.4,1.0,20000>30000,2015>2020,<100
I10,2016.0,6310.0,Manual,9856.0,Petrol,20.0,61.4,1.0,0<10000,2015>2020,<100
I20,2017.0,8291.0,Manual,17839.0,Petrol,145.0,58.9,1.2,10000>20000,2015>2020,100>150
Kona,2018.0,13147.0,Manual,5971.0,Petrol,145.0,52.3,1.0,0<10000,2015>2020,100>150
I10,2017.0,7150.0,Manual,16617.0,Petrol,145.0,57.7,1.2,10000>20000,2015>2020,100>150
I20,2016.0,7810.0,Manual,32442.0,Petrol,20.0,58.9,1.0,30000>40000,2015>2020,<100
I20,2017.0,8891.0,Manual,20259.0,Petrol,20.0,62.8,1.0,20000>30000,2015>2020,<100
I10,2017.0,6695.0,Manual,9121.0,Petrol,20.0,60.1,1.0,0<10000,2015>2020,<100
I10,2018.0,7590.0,Manual,13799.0,Petrol,145.0,57.7,1.2,10000>20000,2015>2020,100>150
Tucson,2019.0,22690.0,Manual,6222.0,Hybrid,145.0,48.7,1.6,0<10000,2015>2020,100>150
Tucson,2017.0,12798.0,Manual,41342.0,Diesel,30.0,61.7,1.7,40000>50000,2015>2020,<100
Tucson,2017.0,11998.0,Manual,55625.0,Diesel,30.0,61.7,1.7,50000>60000,2015>2020,<100
IX20,2017.0,9998.0,Automatic,20673.0,Petrol,150.0,43.5,1.6,20000>30000,2015>2020,100>150
Tucson,2019.0,15495.0,Manual,16070.0,Petrol,145.0,34.9,1.6,10000>20000,2015>2020,100>150
Ioniq,2018.0,16495.0,Automatic,28227.0,Hybrid,135.0,78.5,1.6,20000>30000,2015>2020,100>150
Ioniq,2018.0,18495.0,Automatic,15192.0,Hybrid,135.0,78.5,1.6,10000>20000,2015>2020,100>150
I10,2016.0,4985.0,Manual,49430.0,Petrol,20.0,60.1,1.0,40000>50000,2015>2020,<100
I10,2018.0,8490.0,Manual,18276.0,Petrol,145.0,60.1,1.0,10000>20000,2015>2020,100>150
I20,2014.0,6745.0,Manual,12378.0,Petrol,30.0,57.6,1.2,10000>20000,2010>2015,<100
I10,2017.0,6999.0,Manual,27782.0,Petrol,145.0,60.1,1.0,20000>30000,2015>2020,100>150
I30,2015.0,6998.0,Manual,54755.0,Diesel,0.0,78.4,1.6,50000>60000,2010>2015,<100
IX35,2015.0,7950.0,Manual,47300.0,Diesel,145.0,53.3,1.7,40000>50000,2010>2015,100>150
Kona,2018.0,12370.0,Manual,26096.0,Petrol,145.0,52.3,1.0,20000>30000,2015>2020,100>150
SantaFe,2016.0,19360.0,Manual,25976.0,Diesel,200.0,47.1,2.2,20000>30000,2015>2020,150>200
Kona,2017.0,13140.0,Manual,15564.0,Petrol,145.0,52.3,1.0,10000>20000,2015>2020,100>150
I10,2017.0,7999.0,Manual,25997.0,Petrol,145.0,57.7,1.2,20000>30000,2015>2020,100>150
Ioniq,2019.0,18495.0,Automatic,6040.0,Hybrid,135.0,78.5,1.6,0<10000,2015>2020,100>150
I10,2016.0,5485.0,Manual,25857.0,Petrol,20.0,60.1,1.0,20000>30000,2015>2020,<100
I20,2018.0,10985.0,Manual,16777.0,Petrol,150.0,55.4,1.2,10000>20000,2015>2020,100>150
Tucson,2017.0,14985.0,Semi-Auto,47028.0,Diesel,125.0,57.6,1.7,40000>50000,2015>2020,100>150
I30,2017.0,10785.0,Manual,19273.0,Diesel,150.0,74.3,1.6,10000>20000,2015>2020,100>150
I30,2018.0,12485.0,Manual,19416.0,Diesel,150.0,74.3,1.6,10000>20000,2015>2020,100>150
I20,2018.0,9985.0,Manual,18961.0,Petrol,150.0,58.9,1.0,10000>20000,2015>2020,100>150
Tucson,2018.0,13985.0,Manual,16492.0,Diesel,150.0,61.7,1.7,10000>20000,2015>2020,100>150
Tucson,2020.0,19950.0,Manual,433.0,Petrol,145.0,34.9,1.6,0<10000,2015>2020,100>150
I10,2020.0,11670.0,Manual,101.0,Petrol,145.0,56.5,1.0,0<10000,2015>2020,100>150
I20,2020.0,12770.0,Manual,101.0,Petrol,145.0,46.3,1.2,0<10000,2015>2020,100>150
I10,2018.0,8490.0,Manual,14597.0,Petrol,145.0,60.1,1.0,10000>20000,2015>2020,100>150
Tucson,2017.0,15995.0,Manual,36895.0,Diesel,150.0,58.9,2.0,30000>40000,2015>2020,100>150
I20,2014.0,5495.0,Manual,33508.0,Petrol,30.0,57.6,1.2,30000>40000,2010>2015,<100
I10,2018.0,8495.0,Manual,9493.0,Petrol,150.0,60.1,1.0,0<10000,2015>2020,100>150
I20,2018.0,10295.0,Manual,11895.0,Petrol,150.0,46.3,1.2,10000>20000,2015>2020,100>150
I30,2018.0,10981.0,Manual,33294.0,Diesel,145.0,74.3,1.6,30000>40000,2015>2020,100>150
I30,2017.0,10999.0,Manual,18228.0,Diesel,0.0,74.3,1.6,10000>20000,2015>2020,<100
I10,2013.0,4950.0,Manual,22300.0,Petrol,20.0,61.4,1.2,20000>30000,2010>2015,<100
I40,2016.0,9700.0,Manual,15887.0,Diesel,30.0,65.7,1.7,10000>20000,2015>2020,<100
I10,2016.0,6499.0,Manual,39267.0,Petrol,20.0,60.1,1.0,30000>40000,2015>2020,<100
I20,2018.0,9445.0,Manual,12100.0,Petrol,145.0,46.3,1.2,10000>20000,2015>2020,100>150
I30,2016.0,10695.0,Automatic,11511.0,Petrol,200.0,41.5,1.6,10000>20000,2015>2020,150>200
I10,2017.0,6499.0,Manual,13425.0,Petrol,20.0,60.1,1.0,10000>20000,2015>2020,<100
Tucson,2018.0,13985.0,Manual,18045.0,Diesel,150.0,61.7,1.7,10000>20000,2015>2020,100>150
I10,2017.0,6797.0,Manual,12521.0,Petrol,145.0,60.1,1.0,10000>20000,2015>2020,100>150
Kona,2019.0,15990.0,Manual,4180.0,Petrol,145.0,44.1,1.0,0<10000,2015>2020,100>150
Tucson,2019.0,22500.0,Manual,6155.0,Hybrid,145.0,51.4,1.6,0<10000,2015>2020,100>150
Tucson,2016.0,14710.0,Manual,42231.0,Diesel,145.0,54.3,2.0,40000>50000,2015>2020,100>150
Tucson,2016.0,12190.0,Manual,50132.0,Diesel,145.0,54.3,2.0,50000>60000,2015>2020,100>150
Tucson,2018.0,15691.0,Manual,9046.0,Petrol,145.0,44.8,1.6,0<10000,2015>2020,100>150
I20,2017.0,8099.0,Manual,46297.0,Petrol,150.0,55.4,1.2,40000>50000,2015>2020,100>150
Tucson,2019.0,21490.0,Manual,101.0,Petrol,145.0,34.9,1.6,0<10000,2015>2020,100>150
I20,2017.0,9530.0,Automatic,20187.0,Petrol,160.0,45.6,1.4,20000>30000,2015>2020,150>200
Tucson,2019.0,18500.0,Manual,16003.0,Petrol,145.0,34.9,1.6,10000>20000,2015>2020,100>150
I10,2018.0,8000.0,Manual,9598.0,Petrol,145.0,60.1,1.0,0<10000,2015>2020,100>150
I10,2016.0,6891.0,Manual,32723.0,Petrol,30.0,57.6,1.2,30000>40000,2015>2020,<100
I20,2016.0,8290.0,Manual,12680.0,Petrol,30.0,55.4,1.2,10000>20000,2015>2020,<100
Tucson,2016.0,11517.0,Manual,58264.0,Diesel,30.0,61.7,1.7,50000>60000,2015>2020,<100
I20,2016.0,7990.0,Manual,19427.0,Petrol,30.0,55.4,1.2,10000>20000,2015>2020,<100
I20,2014.0,6390.0,Manual,13000.0,Petrol,30.0,57.6,1.2,10000>20000,2010>2015,<100
I800,2019.0,21290.0,Manual,4234.0,Diesel,145.0,31.7,2.5,0<10000,2015>2020,100>150
Ioniq,2018.0,14747.0,Automatic,11591.0,Hybrid,135.0,78.5,1.6,10000>20000,2015>2020,100>150
I40,2017.0,11690.0,Manual,9225.0,Diesel,145.0,65.7,1.7,0<10000,2015>2020,100>150
I10,2017.0,6799.0,Manual,22000.0,Petrol,145.0,60.1,1.0,20000>30000,2015>2020,100>150
I20,2015.0,6499.0,Manual,48072.0,Petrol,30.0,55.4,1.2,40000>50000,2010>2015,<100
Tucson,2016.0,10100.0,Manual,64038.0,Diesel,30.0,61.7,1.7,>60000,2015>2020,<100
I40,2016.0,8731.0,Manual,56001.0,Diesel,20.0,67.3,1.7,50000>60000,2015>2020,<100
