type,title,director,country,date_added,release_year,rating,duration,listed_in,latitude,longitude
Movie,Austin Powers: The Spy Who Shagged Me,Jay Roach,United States,7/1/2021,1999,PG-13,95 min,"Action & Adventure, Comedies, Sci-Fi & Fantasy",37.0902,-95.7129
Movie,Boogie Nights,Paul Thomas Anderson,United States,7/1/2021,1997,R,155 min,"Comedies, Dramas, Independent Movies",37.0902,-95.7129
Movie,Charlie's Angels,McG,United States,7/1/2021,2000,PG-13,98 min,"Action & Adventure, Comedies",37.0902,-95.7129
Movie,Congo,Frank Marshall,United States,7/1/2021,1995,PG-13,108 min,"Action & Adventure, Thrillers",37.0902,-95.7129
Movie,Dennis the Menace,Nick Castle,United States,7/1/2021,1993,PG,96 min,"Children & Family Movies, Comedies",37.0902,-95.7129
Movie,Dreamy Eyes,Victor Vu,Vietnam,7/1/2021,2019,TV-14,117 min,"Dramas, International Movies, Romantic Movies",14.4362,107.9406
TV Show,Masameer County,Malik Nejer,Saudi Arabia,7/1/2021,2021,TV-MA,1 Season,"International TV Shows, TV Comedies",23.9347,45.4059
Movie,Hampstead,Joel Hopkins,United Kingdom,7/1/2021,2019,PG-13,103 min,"Comedies, Dramas, International Movies",51.5099,-0.118
Movie,Kung Fu Panda,"John Stevenson, Mark Osborne",United States,7/1/2021,2008,PG,94 min,"Children & Family Movies, Comedies",37.0902,-95.7129
Movie,Kung Fu Panda 2,Jennifer Yuh Nelson,United States,7/1/2021,2011,PG,93 min,"Children & Family Movies, Comedies",37.0902,-95.7129
Movie,Life as We Know It,Greg Berlanti,United States,7/1/2021,2010,PG-13,115 min,"Comedies, Dramas, Romantic Movies",37.0902,-95.7129
Movie,Mary Magdalene,Garth Davis,United Kingdom,7/1/2021,2019,R,120 min,"Dramas, Faith & Spirituality, International Movies",51.5099,-0.118
Movie,Memoirs of a Geisha,Rob Marshall,France,7/1/2021,2005,PG-13,145 min,"Dramas, Romantic Movies",46.6035,1.8883
Movie,Midnight Run,Martin Brest,United States,7/1/2021,1988,R,126 min,"Action & Adventure, Classic Movies, Comedies",37.0902,-95.7129
Movie,Mortal Kombat,Paul W.S. Anderson,United States,7/1/2021,1995,PG-13,101 min,"Action & Adventure, Sci-Fi & Fantasy",37.0902,-95.7129
Movie,Mother's Day,Garry Marshall,United States,7/1/2021,2016,PG-13,118 min,"Comedies, Dramas",37.0902,-95.7129
Movie,No Strings Attached,Ivan Reitman,United States,7/1/2021,2011,R,109 min,"Comedies, Romantic Movies",37.0902,-95.7129
Movie,Not Another Teen Movie,Joel Gallen,United States,7/1/2021,2001,R,89 min,Comedies,37.0902,-95.7129
Movie,Ophelia,Claire McCarthy,United Kingdom,7/1/2021,2018,PG-13,106 min,"Dramas, Romantic Movies",51.5099,-0.118
Movie,Red Joan,Trevor Nunn,United Kingdom,7/1/2021,2019,R,101 min,"Dramas, International Movies",51.5099,-0.118
Movie,Seven Pounds,Gabriele Muccino,United States,7/1/2021,2008,PG-13,123 min,"Dramas, Romantic Movies",37.0902,-95.7129
Movie,She's Out of My League,Jim Field Smith,United States,7/1/2021,2010,R,106 min,"Comedies, Romantic Movies",37.0902,-95.7129
Movie,Snow Day,Chris Koch,United States,7/1/2021,2000,PG,89 min,"Children & Family Movies, Comedies",37.0902,-95.7129
Movie,Star Trek,J.J. Abrams,United States,7/1/2021,2009,PG-13,128 min,"Action & Adventure, Sci-Fi & Fantasy",37.0902,-95.7129
Movie,Stuart Little,Rob Minkoff,Germany,7/1/2021,1999,PG,85 min,"Children & Family Movies, Comedies",51.1657,10.4515
Movie,Sword of Trust,Lynn Shelton,United States,7/1/2021,2019,R,89 min,"Comedies, Dramas, Independent Movies",37.0902,-95.7129
Movie,Talladega Nights: The Ballad of Ricky Bobby,Adam McKay,United States,7/1/2021,2006,PG-13,108 min,"Action & Adventure, Comedies, Sports Movies",37.0902,-95.7129
Movie,The American,Anton Corbijn,United States,7/1/2021,2010,R,105 min,"Dramas, Thrillers",37.0902,-95.7129
Movie,The Best of Enemies,Robin Bissell,United States,7/1/2021,2019,PG-13,133 min,Dramas,37.0902,-95.7129
Movie,The Game,David Fincher,United States,7/1/2021,1997,R,129 min,Thrillers,37.0902,-95.7129
Movie,The Karate Kid,John G. Avildsen,United States,7/1/2021,1984,PG,127 min,"Action & Adventure, Children & Family Movies, Classic Movies",37.0902,-95.7129
Movie,The Karate Kid Part II,John G. Avildsen,United States,7/1/2021,1986,PG,113 min,"Action & Adventure, Children & Family Movies, Dramas",37.0902,-95.7129
Movie,The Karate Kid Part III,John G. Avildsen,United States,7/1/2021,1989,PG,112 min,"Children & Family Movies, Dramas",37.0902,-95.7129
Movie,The Life of David Gale,Alan Parker,United Kingdom,7/1/2021,2003,R,130 min,Dramas,51.5099,-0.118
Movie,The Long Riders,Walter Hill,United States,7/1/2021,1980,R,100 min,Action & Adventure,37.0902,-95.7129
Movie,The Queen,Stephen Frears,United Kingdom,7/1/2021,2006,PG-13,103 min,"Dramas, International Movies",51.5099,-0.118
Movie,The Strangers,Bryan Bertino,United States,7/1/2021,2008,R,85 min,"Horror Movies, Thrillers",37.0902,-95.7129
Movie,The Sum of All Fears,Phil Alden Robinson,United States,7/1/2021,2002,PG-13,124 min,Action & Adventure,37.0902,-95.7129
Movie,The Tourist,Florian Henckel von Donnersmarck,United States,7/1/2021,2010,PG-13,103 min,"Action & Adventure, Romantic Movies",37.0902,-95.7129
Movie,Underworld,Len Wiseman,United States,7/1/2021,2003,R,121 min,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy",37.0902,-95.7129
Movie,Underworld: Awakening,"Måns Mårlind, Björn Stein",United States,7/1/2021,2012,R,89 min,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy",37.0902,-95.7129
Movie,Underworld: Rise of the Lycans,Patrick Tatopoulos,United States,7/1/2021,2009,R,92 min,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy",37.0902,-95.7129
Movie,Voiceless,Robert O. Peters,Nigeria,7/1/2021,2020,TV-MA,112 min,"Dramas, International Movies, Thrillers",9.082,8.6753
Movie,What Dreams May Come,Vincent Ward,United States,7/1/2021,1998,PG-13,114 min,"Dramas, Romantic Movies, Sci-Fi & Fantasy",37.0902,-95.7129
Movie,Why Do Fools Fall in Love,Gregory Nava,United States,7/1/2021,1998,R,116 min,"Dramas, Music & Musicals, Romantic Movies",37.0902,-95.7129
Movie,Working Title,Mary Harron,United States,7/1/2021,2019,R,110 min,Dramas,37.0902,-95.7129
Movie,America: The Motion Picture,Matt Thompson,United States,6/30/2021,2021,TV-MA,98 min,"Action & Adventure, Comedies",37.0902,-95.7129
Movie,Lying and Stealing,Matt Aselton,United States,6/30/2021,2019,R,100 min,Thrillers,37.0902,-95.7129
TV Show,Sophie: A Murder in West Cork,John Dower,United Kingdom,6/30/2021,2021,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries",51.5099,-0.118
Movie,Killing Them Softly,Andrew Dominik,United States,6/28/2021,2012,R,97 min,Dramas,37.0902,-95.7129
Movie,Wonder Boy,Anissa Bonnefont,France,6/26/2021,2019,TV-14,83 min,"Documentaries, International Movies",46.6035,1.8883
Movie,Here Comes the Rain,Bahij Hojeij,Lebanon,6/25/2021,2010,TV-MA,101 min,"Dramas, International Movies",34.0806,35.8634
Movie,The Ice Road,Jonathan Hensleigh,United States,6/25/2021,2021,PG-13,109 min,Action & Adventure,37.0902,-95.7129
Movie,The Seventh Day,Justin P. Lange,United States,6/24/2021,2021,R,87 min,Horror Movies,37.0902,-95.7129
Movie,Osuofia in London II,Kingsley Ogoro,Nigeria,6/22/2021,2004,TV-14,70 min,"Comedies, Dramas, International Movies",9.082,8.6753
Movie,O Vendedor de Sonhos,Jayme Monjardim,Brazil,6/22/2021,2016,TV-14,96 min,"Dramas, International Movies",-14.235,-51.9253
Movie,Osuofia in London,Kingsley Ogoro,Nigeria,6/22/2021,2003,TV-MA,84 min,"Comedies, Dramas, International Movies",9.082,8.6753
Movie,The House of Flowers: The Movie,Manolo Caro,Mexico,6/23/2021,2021,TV-MA,88 min,"Comedies, International Movies, Music & Musicals",23.6345,-102.5528
Movie,#Selfie,Cristina Jacob,Romania,6/21/2021,2014,TV-MA,125 min,"Comedies, Dramas, International Movies",45.7902,24.865
Movie,#Selfie 69,Cristina Jacob,Romania,6/21/2021,2016,TV-MA,119 min,"Comedies, Dramas, International Movies",45.7902,24.865
Movie,Love Is a Story,Cristina Jacob,Romania,6/21/2021,2015,TV-MA,105 min,"International Movies, Music & Musicals, Romantic Movies",45.7902,24.865
TV Show,Cleo & Cuquin,Fernando Moro,Spain,6/19/2021,2020,TV-Y,2 Seasons,Kids' TV,40.4637,-3.7492
TV Show,Riverdale,Rob Seidenglanz,United States,6/19/2021,2019,TV-14,4 Seasons,"Crime TV Shows, TV Dramas, TV Mysteries",37.0902,-95.7129
TV Show,They've Gotta Have Us,Simon Frederick,United Kingdom,6/19/2021,2018,TV-MA,1 Season,"British TV Shows, Docuseries",51.5099,-0.118
Movie,Jagame Thandhiram,Karthik Subbaraj,India,6/18/2021,2021,TV-MA,159 min,"Action & Adventure, Dramas, International Movies",20.5937,78.9629
Movie,Fatherhood,Paul Weitz,United States,6/18/2021,2021,PG-13,111 min,Dramas,37.0902,-95.7129
Movie,Kambili: The Whole 30 Yards,Kayode Kasum,Nigeria,6/18/2021,2020,TV-14,119 min,"Comedies, International Movies, Romantic Movies",9.082,8.6753
TV Show,The Rational Life,Hsu Fu-chun,Taiwan,6/18/2021,2021,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",23.6978,120.9605
Movie,Aziza,Soudade Kaadan,Lebanon,6/17/2021,2019,TV-PG,13 min,"Comedies, Dramas, Independent Movies",34.0806,35.8634
Movie,Ali & Ratu Ratu Queens,Lucky Kuswandi,Indonesia,6/17/2021,2021,TV-14,101 min,"Comedies, Dramas, International Movies",-1.6325,116.0666
Movie,Besieged Bread,Soudade Kaadan,Syria,6/17/2021,2015,TV-14,12 min,"Dramas, International Movies",35.0447,38.3808
Movie,Fan Girl,Antoinette Jadaone,Philippines,6/17/2021,2020,TV-MA,101 min,"Dramas, Independent Movies, International Movies",12.4061,122.8902
Movie,Sweet & Sour,Lee Kae-byeok,South Korea,6/4/2021,2021,TV-14,103 min,"Comedies, International Movies, Romantic Movies",35.9078,127.7669
Movie,Red Snow,Marie Clements,Canada,6/17/2021,2019,TV-MA,96 min,Dramas,56.1304,-106.3468
Movie,Silver Linings Playbook,David O. Russell,United States,6/17/2021,2012,R,122 min,"Comedies, Dramas, Independent Movies",37.0902,-95.7129
Movie,Biking Borders,Max Jabs,Germany,6/16/2021,2019,TV-14,89 min,"Documentaries, International Movies, Sports Movies",51.1657,10.4515
Movie,Lowriders,Ricardo de Montreuil,United States,6/16/2021,2016,PG-13,98 min,"Dramas, Independent Movies",37.0902,-95.7129
Movie,Security,Peter Chelsom,Italy,6/16/2021,2021,TV-MA,119 min,"Dramas, International Movies, Thrillers",43.1117,12.2706
Movie,FTA,Francine Parker,United States,6/15/2021,1972,TV-MA,104 min,Documentaries,37.0902,-95.7129
Movie,Life of Crime,Daniel Schechter,United States,6/15/2021,2013,R,101 min,"Comedies, Independent Movies",37.0902,-95.7129
Movie,Rogue Warfare: Death of a Nation,Mike Gunther,United States,6/15/2021,2020,R,99 min,Action & Adventure,37.0902,-95.7129
Movie,Sir! No Sir!,David Zeiger,United States,6/15/2021,2005,TV-MA,84 min,Documentaries,37.0902,-95.7129
TV Show,The American Bible Challenge,Michael Simon,United States,6/15/2021,2014,TV-G,1 Season,Reality TV,37.0902,-95.7129
Movie,The Reason I Jump,Jerry Rothwell,United States,6/15/2021,2021,TV-14,82 min,Documentaries,37.0902,-95.7129
TV Show,Metallica: Some Kind of Monster,"Joe Berlinger, Bruce Sinofsky",United States,6/13/2021,2014,TV-MA,1 Season,TV Shows,37.0902,-95.7129
Movie,Picture a Scientist,"Ian Cheney, Sharon Shattuck",United States,6/13/2021,2020,TV-MA,97 min,Documentaries,37.0902,-95.7129
Movie,The Devil Below,Bradley Parker,United States,6/13/2021,2021,TV-MA,89 min,Horror Movies,37.0902,-95.7129
Movie,Sarbath,Prabhakaran,India,6/11/2021,2021,TV-PG,113 min,"Comedies, Dramas, International Movies",20.5937,78.9629
Movie,Skater Girl,Manjari Makijany,United States,6/11/2021,2021,PG,110 min,"Children & Family Movies, Dramas, International Movies",37.0902,-95.7129
TV Show,Trese,Jay Oliva,Philippines,6/11/2021,2021,TV-MA,1 Season,"Anime Series, Crime TV Shows, TV Horror",12.4061,122.8902
Movie,Wish Dragon,Chris Appelhans,China,6/11/2021,2021,PG,102 min,"Children & Family Movies, Comedies",35.8617,104.1954
TV Show,Power Rangers Dino Fury,Not Given,United States,6/15/2021,2021,TV-G,1 Season,Kids' TV,37.0902,-95.7129
Movie,A Haunted House 2,Michael Tiddes,United States,6/10/2021,2014,R,86 min,"Comedies, Horror Movies",37.0902,-95.7129
Movie,Blind Intersections,Lara Saba,Lebanon,6/10/2021,2012,TV-MA,91 min,"Dramas, International Movies",34.0806,35.8634
Movie,Camellia Sisters,"Bao Nhan, Namcito",Vietnam,6/10/2021,2021,TV-MA,117 min,"Dramas, International Movies",14.4362,107.9406
Movie,Copenhagen,Mark Raso,Canada,6/10/2021,2014,TV-MA,99 min,"Dramas, Independent Movies, Romantic Movies",56.1304,-106.3468
Movie,Until Midnight,Tariq Alkazim,United Arab Emirates,6/10/2021,2019,TV-14,77 min,"International Movies, Thrillers",23.7058,53.9585
Movie,Awake,Mark Raso,United States,6/9/2021,2021,TV-MA,97 min,"Dramas, Thrillers",37.0902,-95.7129
Movie,Confusion Na Wa,Kenneth Gyang,Nigeria,6/9/2021,2013,TV-MA,106 min,"Comedies, Dramas, International Movies",9.082,8.6753
Movie,Tragic Jungle,Yulene Olaizola,Mexico,6/9/2021,2021,TV-MA,97 min,"Dramas, Independent Movies, International Movies",23.6345,-102.5528
Movie,Vampire Academy,Mark Waters,United States,6/7/2021,2014,PG-13,104 min,"Action & Adventure, Comedies, Sci-Fi & Fantasy",37.0902,-95.7129
Movie,A Private War,Matthew Heineman,United Kingdom,6/5/2021,2018,R,110 min,"Dramas, Independent Movies",51.5099,-0.118
Movie,Small Chops,Robert Peters,Nigeria,6/5/2021,2020,TV-MA,98 min,"Dramas, International Movies, Romantic Movies",9.082,8.6753
Movie,Breaking Boundaries: The Science Of Our Planet,Jonathan Clay,United States,6/4/2021,2021,TV-PG,74 min,Documentaries,37.0902,-95.7129
TV Show,Feel Good,Ally Pankiw,United Kingdom,6/4/2021,2021,TV-MA,2 Seasons,"Romantic TV Shows, TV Comedies, TV Dramas",51.5099,-0.118
Movie,Trippin' with the Kandasamys,Jayan Moodley,South Africa,6/4/2021,2021,TV-14,94 min,"Comedies, International Movies, Romantic Movies",-30.8369,24.3079
Movie,Xtreme,Daniel Benmayor,Spain,6/4/2021,2021,TV-MA,112 min,"Action & Adventure, International Movies",40.4637,-3.7492
Movie,Alan Saldaña: Locked Up,Alex Díaz,Mexico,6/3/2021,2021,TV-MA,49 min,Stand-Up Comedy,23.6345,-102.5528
Movie,Dancing Queens,Helena Bergström,Sweden,6/3/2021,2021,TV-MA,111 min,"Comedies, Dramas, International Movies",62.7404,16.3882
Movie,From Stress to Happiness,"Alejandro De Grazia, Juan Stadler",Argentina,6/3/2021,2020,TV-G,58 min,"Documentaries, International Movies",-35.2982,-65.1078
Movie,Myriam Fares: The Journey,Myriam Fares,United Arab Emirates,6/3/2021,2021,TV-14,72 min,"Documentaries, International Movies, Music & Musicals",23.7058,53.9585
Movie,The Girl and the Gun,Rae Red,Philippines,6/3/2021,2019,TV-MA,78 min,"Dramas, International Movies, Thrillers",12.4061,122.8902
Movie,2 Hearts,Lance Hool,United States,6/2/2021,2020,PG-13,101 min,"Dramas, Faith & Spirituality, Romantic Movies",37.0902,-95.7129
Movie,A Perfect Ending,Nicole Conn,United States,6/2/2021,2012,TV-MA,110 min,"Dramas, Independent Movies, LGBTQ Movies",37.0902,-95.7129
Movie,American Outlaws,Les Mayfield,United States,6/2/2021,2001,PG-13,94 min,Action & Adventure,37.0902,-95.7129
Movie,And Then Came Lola,"Ellen Seidler, Megan Siler",United States,6/2/2021,2009,TV-MA,70 min,"Comedies, Independent Movies, LGBTQ Movies",37.0902,-95.7129
Movie,Battlefield Earth,Roger Christian,United States,6/2/2021,2000,PG-13,118 min,"Action & Adventure, Cult Movies, Sci-Fi & Fantasy",37.0902,-95.7129
Movie,Bliss,Lance Young,Canada,6/2/2021,1997,R,103 min,"Dramas, Romantic Movies",56.1304,-106.3468
Movie,Carnaval,Leandro Neri,Brazil,6/2/2021,2021,TV-MA,95 min,"Comedies, International Movies, Music & Musicals",-14.235,-51.9253
Movie,Cloudburst,Thom Fitzgerald,United States,6/2/2021,2011,TV-MA,93 min,"Comedies, Dramas, Independent Movies",37.0902,-95.7129
Movie,Company of Heroes,Don Michael Paul,United States,6/2/2021,2013,R,101 min,"Action & Adventure, Dramas",37.0902,-95.7129
Movie,Cradle 2 the Grave,Andrzej Bartkowiak,United States,6/2/2021,2003,R,101 min,Action & Adventure,37.0902,-95.7129
Movie,Domestic Disturbance,Harold Becker,United States,6/2/2021,2001,PG-13,89 min,Thrillers,37.0902,-95.7129
Movie,Dream/Killer,Andrew Jenks,United States,6/2/2021,2015,TV-MA,109 min,Documentaries,37.0902,-95.7129
Movie,Felon,Ric Roman Waugh,United States,6/2/2021,2008,R,104 min,"Action & Adventure, Dramas",37.0902,-95.7129
Movie,Flipped,Rob Reiner,United States,6/2/2021,2010,PG,90 min,"Comedies, Dramas, Romantic Movies",37.0902,-95.7129
Movie,Fools Rush In,Andy Tennant,United States,6/2/2021,1997,PG-13,109 min,"Comedies, Romantic Movies",37.0902,-95.7129
Movie,Gold Statue,Tade Ogidan,Nigeria,6/2/2021,2019,TV-14,145 min,"Comedies, Dramas, International Movies",9.082,8.6753
Movie,Hostel: Part III,Scott Spiegel,United States,6/2/2021,2011,R,88 min,"Cult Movies, Horror Movies",37.0902,-95.7129
Movie,I Am Sam,Jessie Nelson,United States,6/2/2021,2001,PG-13,132 min,Dramas,37.0902,-95.7129
Movie,Love Jones,Theodore Witcher,United States,6/2/2021,1997,R,109 min,"Comedies, Dramas, Independent Movies",37.0902,-95.7129
Movie,Million Dollar Baby,Clint Eastwood,United States,6/2/2021,2004,PG-13,133 min,"Dramas, Sports Movies",37.0902,-95.7129
Movie,Mosquita y Mari,Aurora Guerrero,United States,6/2/2021,2012,TV-14,85 min,"Dramas, Independent Movies, LGBTQ Movies",37.0902,-95.7129
Movie,Never Back Down 2: The Beatdown,Michael Jai White,United States,6/2/2021,2011,R,104 min,"Action & Adventure, Dramas, Sports Movies",37.0902,-95.7129
Movie,Ninja Assassin,James McTeigue,Germany,6/2/2021,2009,R,99 min,Action & Adventure,51.1657,10.4515
TV Show,Ouran High School Host Club,Takuya Igarashi,Japan,6/2/2021,2006,TV-PG,1 Season,"Anime Series, Romantic TV Shows, Teen TV Shows",36.2048,138.2529
Movie,Population 436,Michelle MacLaren,Canada,6/2/2021,2006,R,93 min,"Horror Movies, Thrillers",56.1304,-106.3468
Movie,Sniper: Legacy,Don Michael Paul,United States,6/2/2021,2014,R,98 min,Action & Adventure,37.0902,-95.7129
Movie,Starsky & Hutch,Todd Phillips,United States,6/2/2021,2004,PG-13,101 min,"Action & Adventure, Comedies",37.0902,-95.7129
Movie,Streets of Fire,Walter Hill,United States,6/2/2021,1984,PG,94 min,"Action & Adventure, Classic Movies, Cult Movies",37.0902,-95.7129
Movie,Swordfish,Dominic Sena,United States,6/2/2021,2001,R,99 min,Action & Adventure,37.0902,-95.7129
Movie,The Four Seasons,Alan Alda,United States,6/2/2021,1981,PG,108 min,"Comedies, Romantic Movies",37.0902,-95.7129
Movie,The Interpreter,Sydney Pollack,United Kingdom,6/2/2021,2005,PG-13,128 min,Thrillers,51.5099,-0.118
Movie,The Meddler,Lorene Scafaria,United States,6/2/2021,2015,PG-13,104 min,"Comedies, Dramas, Independent Movies",37.0902,-95.7129
Movie,Super Monsters: Once Upon a Rhyme,Steve Ball,United States,6/2/2021,2021,TV-Y,25 min,Children & Family Movies,37.0902,-95.7129
Movie,The Mirror Has Two Faces,Barbra Streisand,United States,6/2/2021,1996,PG-13,127 min,"Comedies, Dramas, Romantic Movies",37.0902,-95.7129
Movie,The Outlaw Josey Wales,Clint Eastwood,United States,6/2/2021,1976,PG,136 min,"Action & Adventure, Classic Movies",37.0902,-95.7129
Movie,One Lagos Night,Ekene Som Mekwunye,Nigeria,5/29/2021,2021,TV-14,103 min,"Comedies, International Movies",9.082,8.6753
Movie,The Wedding Guest,Michael Winterbottom,United Kingdom,6/2/2021,2018,R,97 min,"Dramas, Romantic Movies, Thrillers",51.5099,-0.118
Movie,The Wind,Emma Tammi,United States,6/2/2021,2019,R,88 min,Horror Movies,37.0902,-95.7129
Movie,Then Came You,Peter Hutchings,United States,6/2/2021,2019,TV-MA,97 min,"Comedies, Dramas, Independent Movies",37.0902,-95.7129
Movie,Welcome Home,George Ratliff,United States,6/2/2021,2018,R,97 min,Thrillers,37.0902,-95.7129
Movie,Bo Burnham: Inside,Bo Burnham,United States,5/30/2021,2021,TV-MA,88 min,Stand-Up Comedy,37.0902,-95.7129
Movie,Collateral Beauty,David Frankel,United States,5/28/2021,2016,PG-13,97 min,Dramas,37.0902,-95.7129
Movie,Blue Miracle,Julio Quintana,United States,5/27/2021,2021,TV-PG,97 min,"Children & Family Movies, Dramas, Faith & Spirituality",37.0902,-95.7129
Movie,Ghost Lab,Paween Purijitpanya,Thailand,5/27/2021,2021,TV-MA,118 min,"Horror Movies, International Movies, Thrillers",15.4349,100.7513
Movie,A Place in the Stars,Steve Gukas,Nigeria,5/25/2021,2014,TV-14,110 min,"Dramas, International Movies, Thrillers",9.082,8.6753
Movie,Soy Rada: Serendipity,Pablo Faro,Argentina,5/27/2021,2021,TV-MA,70 min,Stand-Up Comedy,-35.2982,-65.1078
Movie,The Day I lost My Shadow,Soudade Kaadan,Syria,5/27/2021,2018,TV-MA,91 min,"Dramas, Independent Movies, International Movies",35.0447,38.3808
Movie,Baggio: The Divine Ponytail,Letizia Lamartire,Italy,5/26/2021,2021,TV-MA,92 min,"Dramas, International Movies, Sports Movies",43.1117,12.2706
Movie,Home,Tim Johnson,United States,5/25/2021,2015,PG,94 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",37.0902,-95.7129
Movie,99 Songs,Vishwesh Krishnamoorthy,India,5/21/2021,2021,TV-14,131 min,"Dramas, International Movies, Music & Musicals",20.5937,78.9629
Movie,Army of the Dead,Zack Snyder,United States,5/21/2021,2021,R,148 min,"Action & Adventure, Horror Movies",37.0902,-95.7129
Movie,Oxygen,Alexandre Aja,France,5/12/2021,2021,TV-14,102 min,"Dramas, International Movies, Thrillers",46.6035,1.8883
Movie,678,Mohamed Diab,Egypt,5/20/2021,2009,TV-14,99 min,"Dramas, Independent Movies, International Movies",26.8206,30.8028
Movie,Asmaa,Amr Salama,Egypt,5/20/2021,2011,TV-14,92 min,"Dramas, International Movies",26.8206,30.8028
Movie,Hating Peter Tatchell,Christopher Amos,Australia,5/20/2021,2020,TV-MA,91 min,"Documentaries, International Movies, LGBTQ Movies",-25.2744,133.7751
Movie,Spy Kids: All the Time in the World,Robert Rodriguez,United States,5/20/2021,2011,PG,88 min,"Children & Family Movies, Comedies",37.0902,-95.7129
Movie,Sabotage,David Ayer,United States,5/19/2021,2014,R,109 min,"Action & Adventure, Dramas",37.0902,-95.7129
Movie,Small Town Crime,"Eshom Nelms, Ian Nelms",United States,5/19/2021,2017,R,92 min,Thrillers,37.0902,-95.7129
Movie,The Last Days,James Moll,United States,5/19/2021,1998,PG-13,87 min,Documentaries,37.0902,-95.7129
Movie,Taxi No. 9211,Milan Luthria,India,5/20/2021,2006,TV-14,116 min,"Dramas, International Movies, Thrillers",20.5937,78.9629
Movie,Love or Money,Mae Czarina Cruz,Philippines,5/15/2021,2020,TV-MA,116 min,"Dramas, International Movies, Romantic Movies",12.4061,122.8902
Movie,Amy Tan: Unintended Memoir,James Redford,United States,5/18/2021,2021,TV-14,101 min,Documentaries,37.0902,-95.7129
Movie,Sardar Ka Grandson,Kaashvie Nair,India,5/18/2021,2021,TV-14,140 min,"Comedies, Dramas, International Movies",20.5937,78.9629
Movie,Sleight,J.D. Dillard,United States,5/16/2021,2016,R,89 min,"Dramas, Independent Movies, Sci-Fi & Fantasy",37.0902,-95.7129
Movie,Ahaan,Nikhil Pherwani,India,5/15/2021,2021,TV-MA,81 min,"Dramas, Independent Movies, International Movies",20.5937,78.9629
Movie,Cinema Bandi,Praveen Kandregula,India,5/14/2021,2021,TV-MA,99 min,"Comedies, Independent Movies, International Movies",20.5937,78.9629
Movie,Ferry,Cecilia Verheyden,Belgium,5/14/2021,2021,TV-MA,107 min,"Dramas, International Movies, Thrillers",50.5272,4.7732
TV Show,Halston,Daniel Minahan,United States,5/14/2021,2021,TV-MA,1 Season,TV Dramas,37.0902,-95.7129
Movie,I Am All Girls,Donovan Marsh,South Africa,5/14/2021,2021,TV-MA,107 min,"Dramas, International Movies, Thrillers",-30.8369,24.3079
Movie,Jungle Beat: The Movie,Brent Dawes,Mauritius,5/14/2021,2021,TV-Y7,90 min,"Children & Family Movies, Comedies",-20.2794,57.4916
Movie,Table Manners,Leli Maki,Canada,5/14/2021,2018,TV-MA,104 min,"Comedies, Dramas, International Movies",56.1304,-106.3468
Movie,The Strange House,Daniel Prochaska,Austria,5/14/2021,2020,TV-MA,100 min,"Horror Movies, International Movies, Thrillers",47.5261,14.1532
Movie,The Woman in the Window,Joe Wright,United States,5/14/2021,2021,R,102 min,"Dramas, Thrillers",37.0902,-95.7129
Movie,Layer Cake,Matthew Vaughn,United Kingdom,5/13/2021,2004,R,105 min,"Independent Movies, International Movies, Thrillers",51.5099,-0.118
Movie,Tottaa Pataaka Item Maal,Aditya Kripalani,India,5/13/2021,2018,TV-MA,107 min,"Dramas, Independent Movies, International Movies",20.5937,78.9629
Movie,Dance of the Forty One,David Pablos,Mexico,5/12/2021,2021,TV-MA,99 min,"Dramas, Independent Movies, International Movies",23.6345,-102.5528
Movie,Illegal Woman,Ramon Térmens,Spain,5/11/2021,2020,TV-MA,119 min,"Dramas, International Movies",40.4637,-3.7492
Movie,Deadly Switch,Svetlana Cvetko,United States,5/10/2021,2019,TV-PG,86 min,"Independent Movies, Thrillers",37.0902,-95.7129
Movie,Nayattu,Martin Prakkat,India,5/9/2021,2021,TV-MA,122 min,"Dramas, International Movies, Thrillers",20.5937,78.9629
Movie,Sleepless,Baran bo Odar,United States,5/8/2021,2017,R,95 min,Action & Adventure,37.0902,-95.7129
Movie,Super Me,Zhang Chong,China,5/8/2021,2021,TV-14,104 min,"Action & Adventure, Dramas, International Movies",35.8617,104.1954
Movie,Have You Ever Seen Fireflies? - Theatre Play,Yılmaz Erdoğan,Turkey,5/7/2021,1999,TV-MA,118 min,"Dramas, International Movies",38.9637,35.2433
Movie,In Our Mothers' Gardens,Shantrelle P. Lewis,United States,5/7/2021,2020,TV-MA,85 min,Documentaries,37.0902,-95.7129
Movie,Milestone,Ivan Ayr,India,5/7/2021,2021,TV-14,98 min,"Dramas, Independent Movies, International Movies",20.5937,78.9629
Movie,Monster,Anthony Mandler,United States,5/7/2021,2021,TV-MA,99 min,Dramas,37.0902,-95.7129
TV Show,Sab Jholmaal Hai,Vijay Roche,India,5/7/2021,2017,TV-Y7,2 Seasons,"Kids' TV, TV Comedies",20.5937,78.9629
Movie,Time to Dance,Stanley Menino D'Costa,India,5/7/2021,2020,TV-PG,107 min,"Dramas, International Movies, Romantic Movies",20.5937,78.9629
